Date,Ticker,Dividend
1993-03-19 14:30:00,SPY,0.213
1993-06-18 13:30:00,SPY,0.318
1993-09-17 13:30:00,SPY,0.286
1993-12-17 14:30:00,SPY,0.317
1994-03-18 14:30:00,SPY,0.271
1994-06-17 13:30:00,SPY,0.305
1994-09-16 13:30:00,SPY,0.288
1994-12-16 14:30:00,SPY,0.363
1995-03-17 14:30:00,SPY,0.268
1995-06-16 13:30:00,SPY,0.316
1995-09-15 13:30:00,SPY,0.312
1995-12-15 14:30:00,SPY,0.382
1996-03-15 14:30:00,SPY,0.285
1996-06-21 13:30:00,SPY,0.351
1996-09-20 13:30:00,SPY,0.352
1996-12-20 14:30:00,SPY,0.367
1997-03-21 14:30:00,SPY,0.299
1997-06-20 13:30:00,SPY,0.35
1997-09-19 13:30:00,SPY,0.348
1997-12-19 14:30:00,SPY,0.38
1998-03-20 14:30:00,SPY,0.313
1998-06-19 13:30:00,SPY,0.352
1998-09-18 13:30:00,SPY,0.359
1998-12-18 14:30:00,SPY,0.392
1999-03-19 14:30:00,SPY,0.32
1999-06-18 13:30:00,SPY,0.405
1999-09-17 13:30:00,SPY,0.372
1999-12-17 14:30:00,SPY,0.348
2000-03-17 14:30:00,SPY,0.371
2000-06-16 13:30:00,SPY,0.348
2000-09-15 13:30:00,SPY,0.375
2000-12-15 14:30:00,SPY,0.411
2001-03-16 14:30:00,SPY,0.316
2001-06-15 13:30:00,SPY,0.346
2001-09-21 13:30:00,SPY,0.369
2001-12-21 14:30:00,SPY,0.393
2002-03-15 14:30:00,SPY,0.331
2002-06-21 13:30:00,SPY,0.353
2002-09-20 13:30:00,SPY,0.378
2002-12-20 14:30:00,SPY,0.436
2003-03-21 14:30:00,SPY,0.354
2003-06-20 13:30:00,SPY,0.36
2003-09-19 13:30:00,SPY,0.4
2003-12-19 14:30:00,SPY,0.516
2004-03-19 14:30:00,SPY,0.395
2004-06-18 13:30:00,SPY,0.414
2004-09-17 13:30:00,SPY,0.469
2004-11-15 14:30:00,SPY,0.351
2004-12-17 14:30:00,SPY,0.568
2005-03-18 14:30:00,SPY,0.467
2005-06-17 13:30:00,SPY,0.488
2005-09-16 13:30:00,SPY,0.522
2005-12-16 14:30:00,SPY,0.672
2006-03-17 14:30:00,SPY,0.519
2006-06-16 13:30:00,SPY,0.555
2006-09-15 13:30:00,SPY,0.579
2006-12-15 14:30:00,SPY,0.793
2007-03-16 13:30:00,SPY,0.551
2007-06-15 13:30:00,SPY,0.656
2007-09-21 13:30:00,SPY,0.719
2007-12-21 14:30:00,SPY,0.775
2008-03-20 13:30:00,SPY,0.642
2008-06-20 13:30:00,SPY,0.669
2008-09-19 13:30:00,SPY,0.691
2008-12-19 14:30:00,SPY,0.719
2009-03-20 13:30:00,SPY,0.561
2009-06-19 13:30:00,SPY,0.518
2009-09-18 13:30:00,SPY,0.508
2009-12-18 14:30:00,SPY,0.59
2010-03-19 13:30:00,SPY,0.48
2010-06-18 13:30:00,SPY,0.531
2010-09-17 13:30:00,SPY,0.602
2010-12-17 14:30:00,SPY,0.653
2011-03-18 13:30:00,SPY,0.553
2011-06-17 13:30:00,SPY,0.628
2011-09-16 13:30:00,SPY,0.625
2011-12-16 14:30:00,SPY,0.77
2012-03-16 13:30:00,SPY,0.614
2012-06-15 13:30:00,SPY,0.688
2012-09-21 13:30:00,SPY,0.779
2012-12-21 14:30:00,SPY,1.022
2013-03-15 13:30:00,SPY,0.694
2013-06-21 13:30:00,SPY,0.839
2013-09-20 13:30:00,SPY,0.838
2013-12-20 14:30:00,SPY,0.98
2014-03-21 13:30:00,SPY,0.825
2014-06-20 13:30:00,SPY,0.937
2014-09-19 13:30:00,SPY,0.939
2014-12-19 14:30:00,SPY,1.135
2015-03-20 13:30:00,SPY,0.931
2015-06-19 13:30:00,SPY,1.03
2015-09-18 13:30:00,SPY,1.033
2015-12-18 14:30:00,SPY,1.212
2016-03-18 13:30:00,SPY,1.05
2016-06-17 13:30:00,SPY,1.078
2016-09-16 13:30:00,SPY,1.082
2016-12-16 14:30:00,SPY,1.329
2017-03-17 13:30:00,SPY,1.033
2017-06-16 13:30:00,SPY,1.183
2017-09-15 13:30:00,SPY,1.235
2017-12-15 14:30:00,SPY,1.351
2018-03-16 13:30:00,SPY,1.097
2018-06-15 13:30:00,SPY,1.246
2018-09-21 13:30:00,SPY,1.323
2018-12-21 14:30:00,SPY,1.435
2019-03-15 13:30:00,SPY,1.233
2019-06-21 13:30:00,SPY,1.432
2019-09-20 13:30:00,SPY,1.384
2019-12-20 14:30:00,SPY,1.57
2020-03-20 13:30:00,SPY,1.406
2020-06-19 13:30:00,SPY,1.366
2020-09-18 13:30:00,SPY,1.339
2020-12-18 14:30:00,SPY,1.58
2021-03-19 13:30:00,SPY,1.278
2021-06-18 13:30:00,SPY,1.376
2021-09-17 13:30:00,SPY,1.428
2021-12-17 14:30:00,SPY,1.633
2022-03-18 13:30:00,SPY,1.366
2022-06-17 13:30:00,SPY,1.577
2022-09-16 13:30:00,SPY,1.596
2022-12-16 14:30:00,SPY,1.781
2023-02-01 14:30:00,BITO,0.149
2023-03-01 14:30:00,BITO,0.101
2023-03-17 13:30:00,SPY,1.506
2023-04-03 13:30:00,BITO,0.465
2023-05-01 13:30:00,BITO,0.417
2023-06-01 13:30:00,BITO,0.428
2023-06-16 13:30:00,SPY,1.638
2023-07-03 13:30:00,BITO,0.664
2023-08-01 13:30:00,BITO,0.385
2023-09-01 13:30:00,BITO,0.005
2023-09-15 13:30:00,SPY,1.583
2023-10-02 13:30:00,BITO,0.074
2023-11-01 13:30:00,BITO,0.14
2023-12-01 14:30:00,BITO,0.127
2023-12-15 14:30:00,SPY,1.906
2023-12-20 14:30:00,BITO,0.147
2024-02-01 14:30:00,BITO,0.356
2024-03-01 14:30:00,BITO,0.726
2024-03-15 13:30:00,SPY,1.595
2024-04-01 13:30:00,BITO,1.145
2024-05-01 13:30:00,BITO,1.681
2024-06-03 13:30:00,BITO,1.768
2024-06-10 13:30:00,GOOGL,0.2
2024-06-21 13:30:00,SPY,1.759
2024-07-01 13:30:00,BITO,1.503
2024-08-01 13:30:00,BITO,1.447
2024-09-03 13:30:00,BITO,1.209
2024-09-09 13:30:00,GOOGL,0.2
2024-09-20 13:30:00,SPY,1.746
2024-10-01 13:30:00,BITO,1.091
2024-11-01 13:30:00,BITO,0.994
2024-12-02 14:30:00,BITO,0.996
2024-12-09 14:30:00,GOOGL,0.2
2024-12-20 14:30:00,SPY,1.966
2024-12-23 14:30:00,BITO,1.113
2025-02-03 14:30:00,BITO,0.937
2025-03-03 14:30:00,BITO,0.72
2025-03-10 13:30:00,GOOGL,0.2
2025-03-21 13:30:00,SPY,1.696
2025-04-01 13:30:00,BITO,0.361
2025-05-01 13:30:00,BITO,0.545
2025-06-02 13:30:00,BITO,0.997
2025-06-09 13:30:00,GOOGL,0.21
2025-06-20 13:30:00,SPY,1.761
2025-07-01 13:30:00,BITO,0.777
